"PSY_ORD_NO","PSY_ORD_TARGET","PSY_ORD_TYPE_CD","PSY_ITEM_ID","ORD_DATE","START_DATE","END_DATE","ORD_CNT","REMAIN_CNT","USE_CNT","GRADE1_ORD_CNT","GRADE2_ORD_CNT","GRADE3_ORD_CNT","GRADE4_ORD_CNT","GRADE5_ORD_CNT","GRADE6_ORD_CNT","PRICE","PAYMENT_AMT","ORD_STATUS_CD","MAIN_PAYMENT_METHOD_CD","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE","CANCEL_MEMBER_NO","CANCEL_DATE"
P2507161459455f09692,AC0001,"1003",PEER_RELATIONSHIP,"20250716","20260301","20270228",10,0,,0,0,10,0,0,0,1,10,"3000",CARD,M10000001,"2025-07-16 14:59:45",,,,
P250716150248550e5bb,AC0001,"1003",PEER_RELATIONSHIP,"20250716","20250301","20260228",10,0,,0,0,0,10,0,0,1,10,"3000",CARD,M10000001,"2025-07-16 15:02:48",,,,
P250721105724aff94b0,M10000086,"2003",PEER_RELATIONSHIP,"20250721","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000086,"2025-07-21 10:57:24",,,,
P2507211124060e80787,M10000087,"2001",PEER_RELATIONSHIP,"20250721","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000087,"2025-07-21 11:24:06",,,,
P250721113552362483e,M10000088,"2001",PEER_RELATIONSHIP,"20250721","20250301","20250731",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000088,"2025-07-21 11:35:52",,,,
P250721143431ed6548b,TC0461,"1002",PEER_RELATIONSHIP,"20250721","20250801","20260228",7,0,,0,0,0,0,0,7,1,7,"3000",CARD,M10000077,"2025-07-21 14:34:31",,,,
P2507211434473fa9fd6,TC0461,"1002",PEER_RELATIONSHIP,"20250721","20250801","20260228",1,0,,0,0,0,1,0,0,1,1,"3000",CARD,M10000077,"2025-07-21 14:34:47",,,,
P2507220852476ba2c98,M10000089,"2003",PEER_RELATIONSHIP,"20250722","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000089,"2025-07-22 08:52:47",,,,
P250722105604d07015e,M10000091,"2003",PEER_RELATIONSHIP,"20250722","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000091,"2025-07-22 10:56:04",,,,
P2507221330167c40d26,M10000090,"2003",PEER_RELATIONSHIP,"20250722","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000090,"2025-07-22 13:30:16",,,,
P250722153002f847fca,M10000092,"2003",PEER_RELATIONSHIP,"20250722","20250301","20260228",1,0,,0,0,1,0,0,0,1,1,"3000",CARD,M10000092,"2025-07-22 15:30:02",,,,
P250722155601f3bab29,M10000093,"2003",PEER_RELATIONSHIP,"20250722","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000093,"2025-07-22 15:56:01",,,,
P25072410495916e77a8,AC0001,"1003",PEER_RELATIONSHIP,"20250724","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000001,"2025-07-24 10:50:01",,,,
P2507241118583c2bb3d,M10000007,"2001",PEER_RELATIONSHIP,"20250724","20250301","20250731",1,0,,0,0,1,0,0,0,1,1,"3000",CARD,M10000007,"2025-07-24 11:18:59",,,,
P250724112622a0b2acf,M10000007,"2003",PEER_RELATIONSHIP,"20250724","20250301","20260228",1,0,,0,0,0,0,1,0,1,1,"3000",CARD,M10000007,"2025-07-24 11:26:23",,,,
P250730161135269f898,AC0001,"1001",PEER_RELATIONSHIP,"20250730","20250301","20250731",2,0,,0,0,1,1,0,0,1,2,"3000",CARD,M10000001,"2025-07-30 16:11:35",,,,
P250730161330009fa01,AC0001,"1002",PEER_RELATIONSHIP,"20250730","20250801","20260228",11,0,,0,0,4,1,1,5,1,11,"3000",CARD,M10000001,"2025-07-30 16:13:30",,,,
P250730163522e32b91a,AC0001,"1001",PEER_RELATIONSHIP,"20250730","20250301","20250731",3,0,,0,0,0,0,0,3,1,3,"3000",CARD,M10000001,"2025-07-30 16:35:22",,,,
P2507301640160aa6841,AC0001,"1001",PEER_RELATIONSHIP,"20250730","20250301","20250731",2,0,,0,0,0,0,0,2,1,2,"3000",CARD,M10000001,"2025-07-30 16:40:15",,,,
P250730164149db6428e,AC0001,"1003",PEER_RELATIONSHIP,"20250730","20250301","20260228",8,0,,0,0,3,0,1,4,1,8,"3000",CARD,M10000001,"2025-07-30 16:41:49",,,,
P250730165839b628c23,M10000001,"2003",PEER_RELATIONSHIP,"20250730","20250301","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000001,"2025-07-30 16:58:38",,,,
P250806105854efbe1e8,AC0001,"1001",PEER_RELATIONSHIP,"20250806","20250301","20250731",1,0,,1,0,0,0,0,0,1,1,"3000",CARD,M10000001,"2025-08-06 10:58:56",,,,
P250829105503954b2f8,AC0001,"1002",PEER_RELATIONSHIP,"20250829","20250801","20260228",2,0,,0,0,0,0,0,2,0,0,"3000",CARD,M10000001,"2025-08-29 10:55:04",,,,
P2509051411261548c12,AC0001,"1002",PEER_RELATIONSHIP,"20250905","20250801","20260228",4,0,,4,0,0,0,0,0,0,0,"3000",CARD,M10000001,"2025-09-05 14:11:26",,,,
P2509101012137bf8b5f,DC0176,"1002",PEER_RELATIONSHIP,"20250910","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000175,"2025-09-10 10:12:13",,,,
P250918103942b21fc59,M10000001,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,0,1,0,0,0,0,0,0,"3000",CARD,M10000001,"2025-09-18 10:39:42",,,,
P250918104013030fcc3,M10000007,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,1,0,0,0,0,0,0,0,"3000",CARD,M10000007,"2025-09-18 10:40:13",,,,
P25091810404771ad855,M10000001,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,1,0,0,0,0,0,0,0,"3000",CARD,M10000001,"2025-09-18 10:40:36",,,,
P250918104246a7a8c68,AC0001,"1002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000001,"2025-09-18 10:42:46",,,,
P25091810554337b9929,M10000007,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,0,1,0,0,0,0,0,0,"3000",CARD,M10000007,"2025-09-18 10:55:45",,,,
P250918105603fb74d31,M10000007,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000007,"2025-09-18 10:56:05",,,,
P2509181058509903131,M10000007,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000007,"2025-09-18 10:58:50",,,,
P2509181124433c3e552,M10000118,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,1,0,0,0,0,0,0,0,"3000",CARD,M10000118,"2025-09-18 11:24:43",,,,
P2509181134364d723b7,M10000118,"2002",PEER_RELATIONSHIP,"20250918","20250801","20260228",1,0,,0,0,1,0,0,0,0,0,"3000",CARD,M10000118,"2025-09-18 11:34:36",,,,
P250919112312df7f981,M10000184,"2002",PEER_RELATIONSHIP,"20250919","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000184,"2025-09-19 11:23:12",,,,
P250919114318bc37c20,M10000185,"2002",PEER_RELATIONSHIP,"20250919","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000185,"2025-09-19 11:43:18",,,,
P250921232356a8a6cca,M10000188,"2002",PEER_RELATIONSHIP,"20250921","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000188,"2025-09-21 23:23:56",,,,
P2509220814574b97df4,M10000189,"2002",PEER_RELATIONSHIP,"20250922","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000189,"2025-09-22 08:14:57",,,,
P2509220840443fffd42,M10000190,"2002",PEER_RELATIONSHIP,"20250922","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000190,"2025-09-22 08:40:44",,,,
P25092208421409fca8f,M10000191,"2002",PEER_RELATIONSHIP,"20250922","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000191,"2025-09-22 08:42:14",,,,
P25092216061853e5188,M10000174,"2002",PEER_RELATIONSHIP,"20250922","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000174,"2025-09-22 16:06:18",,,,
P2509221721106148c17,M10000192,"2002",PEER_RELATIONSHIP,"20250922","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000192,"2025-09-22 17:21:10",,,,
P250923085026f0a6621,M10000198,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000198,"2025-09-23 08:50:26",,,,
P250923142923061fef0,M10000199,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000199,"2025-09-23 14:29:23",,,,
P250923144634e2fc989,M10000197,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000197,"2025-09-23 14:46:34",,,,
P2509231446454453c0d,M10000197,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000197,"2025-09-23 14:46:45",,,,
P2509231446572a90feb,M10000197,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000197,"2025-09-23 14:46:57",,,,
P250923144709f2276ad,M10000197,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000197,"2025-09-23 14:47:09",,,,
P250923144730e7919a3,M10000206,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000206,"2025-09-23 14:47:30",,,,
P250923144817399f89a,M10000197,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000197,"2025-09-23 14:48:17",,,,
P250923144844ced26e4,M10000197,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,1,0,0,0,0,0,"3000",CARD,M10000197,"2025-09-23 14:48:44",,,,
P25092314552688590cc,M10000001,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,1,0,0,0,0,0,"3000",CARD,M10000001,"2025-09-23 14:55:27",,,,
P2509231539173d171de,M10000207,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000207,"2025-09-23 15:39:17",,,,
P2509231539337a7179a,M10000207,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000207,"2025-09-23 15:39:33",,,,
P2509231546048559eb2,DC0314,"1002",PEER_RELATIONSHIP,"20250923","20250801","20260228",6,0,,0,0,0,0,0,6,0,0,"3000",CARD,M10000197,"2025-09-23 15:46:04",,,,
P250923160359d266675,M10000200,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000200,"2025-09-23 16:03:59",,,,
P2509231705233126211,M10000001,"2002",PEER_RELATIONSHIP,"20250923","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000001,"2025-09-23 17:05:23",,,,
P2509241136283f24fea,M10000001,"2002",PEER_RELATIONSHIP,"20250924","20250801","20260228",1,0,,1,0,0,0,0,0,0,0,"3000",CARD,M10000001,"2025-09-24 11:36:30",,,,
P2509241201060136f12,M10000001,"2002",PEER_RELATIONSHIP,"20250924","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000001,"2025-09-24 12:01:06",,,,
P250924130603ab962e6,M10000208,"2002",PEER_RELATIONSHIP,"20250924","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000208,"2025-09-24 13:06:03",,,,
P25092419454447a7b0d,M10000210,"2002",PEER_RELATIONSHIP,"20250924","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000210,"2025-09-24 19:45:44",,,,
P250925152057a53f146,LC1069,"1002",PEER_RELATIONSHIP,"20250925","20250801","20260228",12,0,,0,0,3,3,3,3,0,0,"3000",CARD,M10000186,"2025-09-25 15:20:57",,,,
P2509251620382343df1,M10000213,"2002",PEER_RELATIONSHIP,"20250925","20250801","20260228",1,0,,0,1,0,0,0,0,0,0,"3000",CARD,M10000213,"2025-09-25 16:20:38",,,,
P25092608440822aa52c,M10000215,"2002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000215,"2025-09-26 08:44:08",,,,
P250926100019e5ba939,M10000216,"2002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000216,"2025-09-26 10:00:19",,,,
P250926105010cd33828,M10000217,"2002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000217,"2025-09-26 10:50:10",,,,
P2509261143025650014,AC0001,"1002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000001,"2025-09-26 11:43:02",,,,
P250926115454ee11ea2,M10000218,"2002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000218,"2025-09-26 11:54:54",,,,
P250926115919c36acca,AC0350,"1002",PEER_RELATIONSHIP,"20250926","20250801","20260228",9,0,,0,1,0,0,8,0,0,0,"3000",CARD,M10000214,"2025-09-26 11:59:19",,,,
P250926124019d9e3049,M10000220,"2002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000220,"2025-09-26 12:40:19",,,,
P2509261246530a4df7b,M10000219,"2002",PEER_RELATIONSHIP,"20250926","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000219,"2025-09-26 12:46:53",,,,
P250929091315643d88f,M10000226,"2002",PEER_RELATIONSHIP,"20250929","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000226,"2025-09-29 09:13:15",,,,
P250929093824250c48a,M10000227,"2002",PEER_RELATIONSHIP,"20250929","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000227,"2025-09-29 09:38:24",,,,
P2509291831457000d9a,M10000230,"2002",PEER_RELATIONSHIP,"20250929","20250801","20260228",1,0,,0,0,0,0,1,0,0,0,"3000",CARD,M10000230,"2025-09-29 18:31:45",,,,
P2509292257318147276,M10000178,"2002",PEER_RELATIONSHIP,"20250929","20250801","20260228",1,0,,0,0,0,0,0,1,0,0,"3000",CARD,M10000178,"2025-09-29 22:57:31",,,,
P25093008553254a21ce,EC0043,"1002",PEER_RELATIONSHIP,"20250930","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000207,"2025-09-30 08:55:32",,,,
P25093009223095e0ccd,M10000231,"2002",PEER_RELATIONSHIP,"20250930","20250801","20260228",1,0,,0,0,1,0,0,0,0,0,"3000",CARD,M10000231,"2025-09-30 09:22:30",,,,
P250930101517c17870e,M10000232,"2002",PEER_RELATIONSHIP,"20250930","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000232,"2025-09-30 10:15:17",,,,
P250930115838498ed56,EC0043,"1002",PEER_RELATIONSHIP,"20250930","20250801","20260228",1,0,,0,0,0,1,0,0,0,0,"3000",CARD,M10000207,"2025-09-30 11:58:38",,,,
